RANGO DIST,RENOVACIÒ,TIPO DE RI,BLOQUE COS,mean,DISTANCIAM,CICLO,FECHA CORT,TIPO COSEC,AREA CAÑA,FINCA,TCH 23-24,EDAD COSEC,FECHA CO_1,VARIEDAD,Name,ESTIMADO 2,TIPO DE SU,OBJECTID,FECHA COSE,UBICACIÒN,Area Calc,EDAD HOY,DISTRITO,fid,ESTATUS,TIPO DE CO,SEMAN COSE,SEMANA COS,LOTE_ID
<10,,SEMIFIJO,RAL BLOQ3,0.25618894609916193,1.5,R1,12/10/2023,COSECHA MECANICA,9.55,RANCHO ALEGRE,108.34,12.13,12/10/2023,CP73-1547,RAL009,105,FARC,546,12/08/2024,CENTRO,9.557,261,D32,365,Comercial,COSECHA MECANICA,1,2,RAL009
<10,,SEMIFIJO,RAL BLOQ3,0.18632469088421186,1.6,R1,12/13/2023,COSECHA MECANICA,6.92,RANCHO ALEGRE,130.73,12.03,12/13/2023,CP72-2086,RAL010,125,FARC,547,12/08/2024,CENTRO,6.925,258,D32,366,Comercial,COSECHA MECANICA,2,2,RAL010
<10,,SEMIFIJO,RAL BLOQ3,0.14411134149715882,1.6,R1,12/14/2023,COSECHA MECANICA,7.4,RANCHO ALEGRE,115.83,12.23,12/14/2023,CP72-2086,RAL011,110,FARC,548,12/15/2024,CENTRO,7.403,257,D32,367,Comercial,MANUAL,2,3,RAL011
<10,,SEMIFIJO,RAL BLOQ3,0.14179688648386016,1.8,R1,12/07/2023,COSECHA MECANICA,10.01,RANCHO ALEGRE,111.51,12.23,12/07/2023,CP72-2086,RAL012,115,ARC,549,12/08/2024,CENTRO,10.016,264,D32,368,Comercial,MANUAL,2,2,RAL012
<10,,SEMIFIJO,RAL BLOQ4,0.1647159687097767,1.6,R1,12/12/2023,COSECHA MECANICA,9.03,RANCHO ALEGRE,93,12.07,12/12/2023,CP72-2086,RAL013,95,FARC,550,12/08/2024,CENTRO,1.821,259,D32,369,Comercial,COSECHA MECANICA,2,2,RAL013
<10,,SEMIFIJO,RAL BLOQ4,0.15025114247852367,1.6,R1,12/12/2023,COSECHA MECANICA,9.03,RANCHO ALEGRE,93,12.07,12/12/2023,CP72-2086,RAL013,95,FARC,551,12/08/2024,CENTRO,7.22,259,D32,370,Comercial,COSECHA MECANICA,2,2,RAL013
<10,,SEMIFIJO,RAL BLOQ4,0.17048667088535854,1.5,R1,12/12/2023,COSECHA MECANICA,7.38,RANCHO ALEGRE,108.1,12.07,12/12/2023,CP72-2086,RAL014,110,FARC,552,12/08/2024,CENTRO,7.383,259,D32,371,Comercial,COSECHA MECANICA,2,2,RAL014
<10,,SEMIFIJO,RAL BLOQ4,0.17213228888670273,1.6,R1,12/15/2023,COSECHA MECANICA,6.85,RANCHO ALEGRE,133.33,12.2,12/15/2023,CP72-2086,RAL015,128,FARC,553,12/15/2024,CENTRO,6.856,256,D32,372,Comercial,MANUAL,2,3,RAL015
<10,,SEMIFIJO,RAL BLOQ4,0.1556328130378021,1.6,R1,12/15/2023,COSECHA MECANICA,11.2,RANCHO ALEGRE,112.61,12.2,12/15/2023,CG02-163,RAL016,110,FARC,554,12/15/2024,CENTRO,9.914,256,D32,373,Comercial,COSECHA MECANICA,2,3,RAL016
<10,,SEMIFIJO,RAL BLOQ4,0.16615111251568224,1.6,R1,12/15/2023,COSECHA MECANICA,11.2,RANCHO ALEGRE,112.61,12.2,12/15/2023,CG02-163,RAL016,110,FARC,555,12/15/2024,CENTRO,1.299,256,D32,374,Comercial,COSECHA MECANICA,2,3,RAL016
<10,,SEMIFIJO,RAL BLOQ5,0.1435744762294115,1.5,R1,12/07/2023,COSECHA MECANICA,13.6,RANCHO ALEGRE,106.2,12.23,12/07/2023,CP73-1547,RAL017,115,FARC,556,12/08/2024,CENTRO,4.774,264,D32,375,Comercial,MANUAL,2,2,RAL017
<10,,SEMIFIJO,RAL BLOQ5,0.15199274053814724,1.5,R1,12/07/2023,COSECHA MECANICA,13.6,RANCHO ALEGRE,106.2,12.23,12/07/2023,CP73-1547,RAL017,115,FARC,557,12/08/2024,CENTRO,8.839,264,D32,376,Comercial,MANUAL,2,2,RAL017
<10,,SEMIFIJO,RAL BLOQ18,0.5317606229772975,n/a,R1,04/12/2024,MANUAL,7.46,RANCHO ALEGRE,49.34,8.93,04/12/2024,CP73-1547,RAL019,100,FARC,558,01/05/2025,CENTRO,7.469,137,D32,377,Comercial,MANUAL,1,6,RAL019
<10,,SEMIFIJO,RAL BLOQ5,0.16473794396318378,1.6,R1,12/17/2023,COSECHA MECANICA,8.31,RANCHO ALEGRE,92.41,12.13,12/17/2023,CP72-2086,RAL020,90,ARC,559,12/15/2024,CENTRO,1.078,254,D32,378,Comercial,MANUAL,3,3,RAL020
<10,,SEMIFIJO,RAL BLOQ5,0.15316039566447298,1.6,R1,12/17/2023,COSECHA MECANICA,8.31,RANCHO ALEGRE,92.41,12.13,12/17/2023,CP72-2086,RAL020,90,ARC,560,12/15/2024,CENTRO,7.239,254,D32,379,Comercial,MANUAL,3,3,RAL020
<10,,SEMIFIJO,RAL BLOQ6,0.47778075434845285,1.8,R1,12/16/2023,COSECHA MECANICA,7.76,RANCHO ALEGRE,97.92,12.17,12/16/2023,CG02-163,RAL021,95,ARC,561,12/15/2024,CENTRO,7.767,255,D32,380,Comercial,COSECHA MECANICA,3,3,RAL021
<10,,SEMIFIJO,RAL BLOQ6,0.17218901016941868,1.5,R1,12/18/2023,COSECHA MECANICA,7.53,RANCHO ALEGRE,91.14,12.1,12/18/2023,CP73-1547,RAL022,90,ARC,562,12/15/2024,CENTRO,7.535,253,D32,381,Comercial,MANUAL,3,3,RAL022
<10,,SEMIFIJO,RAL BLOQ6,0.23251345247769747,1.5,R1,12/20/2023,COSECHA MECANICA,6.95,RANCHO ALEGRE,110.97,12.03,12/20/2023,CP72-2086,RAL023,110,ARC,563,12/15/2024,CENTRO,6.96,251,D32,382,Comercial,COSECHA MECANICA,3,3,RAL023
<10,,SEMIFIJO,RAL BLOQ6,0.15137303181186193,1.6,R1,12/17/2023,MANUAL,8.41,RANCHO ALEGRE,94.15,12.13,12/17/2023,CP72-2086,RAL024,90,FARC,564,12/15/2024,CENTRO,8.417,254,D32,383,Comercial,MANUAL,2,3,RAL024
<10,,SEMIFIJO,RAL BLOQ6,0.4843696705750365,1.5,R1,01/07/2024,COSECHA MECANICA,6.99,RANCHO ALEGRE,121.03,11.9,01/07/2024,CP73-1547,RAL025,117,FARC,565,12/29/2024,CENTRO,6.997,233,D32,384,Comercial,COSECHA MECANICA,6,5,RAL025
